X	Abeta40-10drug.txt: column 1
0.0	0.0
25.0828282828	1.37556632751e-13
50.1656565657	3.75699471533e-13
75.2484848485	7.86370968342e-13
100.331313131	1.49580348108e-12
125.414141414	2.72115663336e-12
150.496969697	4.83713069599e-12
175.57979798	8.49131875924e-12
200.662626263	1.48022705204e-11
225.745454545	2.57007748417e-11
250.828282828	4.45229408896e-11
275.911111111	7.70284946938e-11
300.993939394	1.33164146376e-10
326.076767677	2.30110264177e-10
351.15959596	3.97533228558e-10
376.242424242	6.86670165173e-10
401.325252525	1.18600529397e-09
426.408080808	2.04834671447e-09
451.490909091	3.53759477267e-09
476.573737374	6.10949990598e-09
501.656565657	1.05511317461e-08
526.739393939	1.82217488875e-08
551.822222222	3.14687635949e-08
576.905050505	5.4346111944e-08
601.987878788	9.38548689877e-08
627.070707071	1.6208575826e-07
652.153535354	2.79919220358e-07
677.236363636	4.83415354413e-07
702.319191919	8.34849173903e-07
727.402020202	1.44176813066e-06
752.484848485	2.4899036517e-06
777.567676768	4.30000737739e-06
802.650505051	7.4260021844e-06
827.733333333	1.2824474933e-05
852.816161616	2.21473507215e-05
877.898989899	3.82472268232e-05
902.981818182	6.60497496296e-05
928.064646465	0.000114059223278
953.147474747	0.00019695587544
978.23030303	0.000340072668139
1003.31313131	0.00058710099944
1028.3959596	0.00101332195479
1053.47878788	0.00174822974347
1078.56161616	0.00301393113844
1103.64444444	0.00518948682062
1128.72727273	0.00891627707947
1153.81010101	0.0152634949387
1178.89292929	0.0259681410065
1203.97575758	0.0437284521444
1229.05858586	0.0724183194561
1254.14141414	0.116857479123
1279.22424242	0.181525845011
1304.30707071	0.267913357554
1329.38989899	0.371764254674
1354.47272727	0.483110142252
1379.55555556	0.590231583623
1404.63838384	0.684409055194
1429.72121212	0.76183896966
1454.8040404	0.822652897882
1479.88686869	0.869033790613
1504.96969697	0.903771877661
1530.05252525	0.929507851737
1555.13535354	0.948451927785
1580.21818182	0.962343854652
1605.3010101	0.972508505406
1630.38383838	0.9799363809
1655.46666667	0.985360296668
1680.54949495	0.989319186932
1705.63232323	0.992208038024
1730.71515152	0.994315762296
1755.7979798	0.995853442124
1780.88080808	0.996975194213
1805.96363636	0.997793499974
1831.04646465	0.99839043524
1856.12929293	0.998825881694
1881.21212121	0.999143525143
1906.29494949	0.999375234551
1931.37777778	0.999544257875
1956.46060606	0.999667553919
1981.54343434	0.999757493609
2006.62626263	0.999823101105
2031.70909091	0.999870959207
2056.79191919	0.999905869814
2081.87474747	0.999931335731
2106.95757576	0.999949912117
2132.04040404	0.99996346286
2157.12323232	0.999973347594
2182.20606061	0.999980558118
2207.28888889	0.999985817912
2232.37171717	0.999989654725
2257.45454545	0.999992453529
2282.53737374	0.999994495146
2307.62020202	0.999995984426
2332.7030303	0.999997070797
2357.78585859	0.999997863261
2382.86868687	0.999998441333
2407.95151515	0.999998863014
2433.03434343	0.999999170613
2458.11717172	0.999999394995
2483.2	0.999999558673
